,Airline,Flight Number,Date of Departure,From,To,Duration,Total Stops,Price
57,IndiGo,6E-2016,"Tue, Apr 12",New Delhi,Kolkata,2h 15m,Non Stop,"2,480"
58,IndiGo,6E-947/104,"Tue, Apr 12",New Delhi,Kolkata,6h 00m,1 Stop,"2,480"
59,IndiGo,6E-5037/323,"Tue, Apr 12",New Delhi,Kolkata,8h 45m,1 Stop,"2,480"
60,SpiceJet,SG-8253/8263,"Sat, Feb 5",New Delhi,Port Blair,15h 10m,1 Stop,"9,348"
61,Go First,G8-103/101,"Sat, Feb 5",New Delhi,Port Blair,15h 35m,1 Stop,"9,354"
62,SpiceJet,SG-8263,"Sat, Feb 5",New Delhi,Port Blair,5h 00m,1 Stop,"9,498"
63,Air India,AI-540/549,"Sat, Feb 5",New Delhi,Port Blair,11h 35m,1 Stop,"10,208"
64,Air India,AI-537/549,"Sat, Feb 5",New Delhi,Port Blair,16h 00m,1 Stop,"10,208"
65,Air India,AI-429/549,"Sat, Feb 5",New Delhi,Port Blair,22h 25m,1 Stop,"10,208"
66,Air India,AI-439/549,"Sat, Feb 5",New Delhi,Port Blair,26h 10m,1 Stop,"10,208"
67,Vistara,UK-727/747,"Sat, Feb 5",New Delhi,Port Blair,15h 05m,1 Stop,"10,607"
68,Vistara,UK-747,"Sat, Feb 5",New Delhi,Port Blair,5h 05m,1 Stop,"10,680"
69,Vistara,UK-707/747,"Sat, Feb 5",New Delhi,Port Blair,18h 05m,1 Stop,"10,712"
70,IndiGo,6E-2022,"Mon, Mar 21",New Delhi,Patna,1h 30m,Non Stop,"2,190"
71,IndiGo,6E-5336,"Mon, Mar 21",New Delhi,Patna,1h 30m,Non Stop,"2,190"
72,IndiGo,6E-5003,"Mon, Mar 21",New Delhi,Patna,1h 35m,Non Stop,"2,190"
73,Air India,AI-409,"Mon, Mar 21",New Delhi,Patna,1h 35m,Non Stop,"2,190"
74,IndiGo,6E-761,"Mon, Mar 21",New Delhi,Patna,1h 40m,Non Stop,"2,190"
75,Air India,AI-415,"Mon, Mar 21",New Delhi,Patna,1h 40m,Non Stop,"2,190"
76,IndiGo,6E-2043,"Mon, Mar 21",New Delhi,Patna,1h 45m,Non Stop,"2,190"
77,IndiGo,6E-2323,"Mon, Mar 21",New Delhi,Patna,1h 45m,Non Stop,"2,190"
78,IndiGo,6E-397/6277,"Mon, Mar 21",New Delhi,Patna,4h 40m,1 Stop,"2,190"
79,IndiGo,6E-2346/6277,"Mon, Mar 21",New Delhi,Patna,9h 25m,1 Stop,"2,190"
80,SpiceJet,SG-8185,"Fri, Mar 25",New Delhi,Pune,2h 20m,Non Stop,"2,244"
81,Air Asia,I5-768,"Fri, Mar 25",New Delhi,Pune,2h 00m,Non Stop,"2,246"
82,IndiGo,6E-2471,"Fri, Mar 25",New Delhi,Pune,2h 05m,Non Stop,"2,246"
83,IndiGo,6E-2769,"Fri, Mar 25",New Delhi,Pune,2h 05m,Non Stop,"2,246"
84,IndiGo,6E-221,"Fri, Mar 25",New Delhi,Pune,2h 05m,Non Stop,"2,246"
85,Air Asia,I5-737,"Fri, Mar 25",New Delhi,Pune,2h 05m,Non Stop,"2,246"
86,IndiGo,6E-186,"Fri, Mar 25",New Delhi,Pune,2h 15m,Non Stop,"2,246"
87,IndiGo,6E-2753,"Fri, Mar 25",New Delhi,Pune,2h 35m,Non Stop,"2,246"
88,IndiGo,6E-198/217,"Fri, Mar 25",New Delhi,Pune,8h 35m,1 Stop,"2,246"
89,IndiGo,6E-5241/367,"Fri, Mar 25",New Delhi,Pune,11h 05m,1 Stop,"2,246"
90,SpiceJet,SG-8152,"Sun, Feb 27",New Delhi,Guwahati,2h 20m,Non Stop,"2,898"
91,Air Asia,I5-783,"Sun, Feb 27",New Delhi,Guwahati,2h 10m,Non Stop,"2,900"
92,IndiGo,6E-2751,"Sun, Feb 27",New Delhi,Guwahati,2h 10m,Non Stop,"2,900"
93,IndiGo,6E-889,"Sun, Feb 27",New Delhi,Guwahati,2h 10m,Non Stop,"2,900"
94,IndiGo,6E-5031,"Sun, Feb 27",New Delhi,Guwahati,2h 20m,Non Stop,"2,900"
95,Go First,G8-152,"Sun, Feb 27",New Delhi,Guwahati,2h 20m,Non Stop,"2,900"
96,Air Asia,I5-792,"Sun, Feb 27",New Delhi,Guwahati,2h 20m,Non Stop,"2,900"
97,Go First,G8-157,"Sun, Feb 27",New Delhi,Guwahati,2h 20m,Non Stop,"2,900"
98,Air Asia,I5-776,"Sun, Feb 27",New Delhi,Guwahati,2h 25m,Non Stop,"2,900"
99,Air Asia,I5-787,"Sun, Feb 27",New Delhi,Guwahati,2h 30m,Non Stop,"2,900"
100,Air Asia,I5-764,"Sun, Feb 13",New Delhi,Mumbai,2h 10m,Non Stop,"2,410"
101,IndiGo,6E-5001,"Sun, Feb 13",New Delhi,Mumbai,2h 10m,Non Stop,"2,410"
102,IndiGo,6E-6202,"Sun, Feb 13",New Delhi,Mumbai,2h 10m,Non Stop,"2,410"
103,IndiGo,6E-2046,"Sun, Feb 13",New Delhi,Mumbai,2h 10m,Non Stop,"2,410"
104,IndiGo,6E-5041,"Sun, Feb 13",New Delhi,Mumbai,2h 10m,Non Stop,"2,410"
105,IndiGo,6E-549,"Sun, Feb 13",New Delhi,Mumbai,2h 15m,Non Stop,"2,410"
106,Air Asia,I5-482,"Sun, Feb 13",New Delhi,Mumbai,2h 15m,Non Stop,"2,410"
107,IndiGo,6E-6722,"Sun, Feb 13",New Delhi,Mumbai,2h 15m,Non Stop,"2,410"
108,IndiGo,6E-6278,"Sun, Feb 13",New Delhi,Mumbai,2h 20m,Non Stop,"2,410"
109,IndiGo,6E-5328,"Sun, Feb 13",New Delhi,Mumbai,2h 30m,Non Stop,"2,410"
110,IndiGo,6E-2331/905,"Sun, Mar 6",New Delhi,Goa,7h 10m,1 Stop,"3,288"
111,IndiGo,6E-967/6433,"Sun, Mar 6",New Delhi,Goa,5h 50m,1 Stop,"3,626"
112,IndiGo,6E-2247/793,"Sun, Mar 6",New Delhi,Goa,6h 25m,1 Stop,"3,626"
113,IndiGo,6E-2005/793,"Sun, Mar 6",New Delhi,Goa,7h 45m,1 Stop,"3,626"
114,IndiGo,6E-6205/992,"Sun, Mar 6",New Delhi,Goa,7h 55m,1 Stop,"3,626"
